date,open,high,low,close,volume,stock_code,stock_name
2025-04-28,5.12,5.31,5.08,5.17,78955100,300182,捷成股份
2025-04-29,5.17,5.27,5.13,5.22,70371111,300182,捷成股份
2025-04-30,5.24,5.37,5.23,5.29,72234225,300182,捷成股份
2025-05-06,5.32,5.47,5.31,5.47,83185503,300182,捷成股份
2025-05-07,5.52,5.56,5.34,5.41,85116549,300182,捷成股份
2025-05-08,5.39,5.53,5.36,5.49,77147948,300182,捷成股份
2025-05-09,5.46,5.47,5.32,5.35,77906300,300182,捷成股份
2025-05-12,5.39,5.43,5.36,5.4,51738539,300182,捷成股份
2025-05-13,5.47,5.49,5.36,5.37,57315830,300182,捷成股份
2025-05-14,5.36,5.41,5.28,5.35,68252417,300182,捷成股份
2025-05-15,5.34,5.34,5.21,5.23,58451100,300182,捷成股份
2025-05-16,5.2,5.27,5.18,5.22,40317640,300182,捷成股份
2025-05-19,5.2,5.27,5.14,5.24,46519899,300182,捷成股份
2025-05-20,5.22,5.35,5.2,5.33,63905071,300182,捷成股份
2025-05-21,5.29,5.31,5.24,5.24,42755370,300182,捷成股份
2025-05-22,5.22,5.32,5.17,5.26,68533448,300182,捷成股份
2025-05-23,5.23,5.28,5.13,5.13,62970200,300182,捷成股份
2025-05-26,5.11,5.24,5.11,5.22,47066165,300182,捷成股份
2025-05-27,5.2,5.23,5.14,5.2,48631806,300182,捷成股份
2025-05-28,5.18,5.22,5.14,5.16,44875683,300182,捷成股份
2025-05-29,5.16,5.29,5.12,5.29,83297625,300182,捷成股份
2025-05-30,5.26,5.29,5.15,5.16,56010000,300182,捷成股份
2025-06-03,5.16,5.32,5.14,5.24,62249849,300182,捷成股份
2025-06-04,5.24,5.29,5.23,5.27,40873100,300182,捷成股份
2025-06-05,5.28,5.35,5.24,5.32,61933217,300182,捷成股份
2025-06-06,5.32,5.35,5.25,5.27,47687214,300182,捷成股份
2025-06-09,5.28,5.41,5.28,5.37,65964775,300182,捷成股份
2025-06-10,5.36,5.39,5.24,5.38,74121649,300182,捷成股份
2025-06-11,5.34,5.44,5.32,5.41,68055641,300182,捷成股份
2025-06-12,5.39,5.53,5.36,5.49,111372883,300182,捷成股份
2025-06-13,5.47,5.48,5.27,5.3,102521283,300182,捷成股份
2025-06-16,5.27,5.58,5.27,5.48,110089499,300182,捷成股份
2025-06-17,5.49,5.51,5.38,5.41,77999738,300182,捷成股份
2025-06-18,5.38,5.41,5.3,5.35,56703727,300182,捷成股份
2025-06-19,5.34,5.42,5.26,5.36,85385399,300182,捷成股份
2025-06-20,5.35,5.39,5.17,5.17,73838200,300182,捷成股份
2025-06-23,5.16,5.27,5.13,5.26,50495611,300182,捷成股份
2025-06-24,5.29,5.42,5.28,5.39,75932499,300182,捷成股份
2025-06-25,5.4,5.45,5.34,5.45,75780100,300182,捷成股份
2025-06-26,5.44,5.48,5.39,5.41,66563300,300182,捷成股份
2025-06-27,5.45,5.48,5.39,5.41,63961321,300182,捷成股份
2025-06-30,5.42,5.54,5.39,5.51,90220842,300182,捷成股份
2025-07-01,5.5,5.51,5.41,5.45,62062900,300182,捷成股份
2025-07-02,5.42,5.47,5.36,5.4,57540097,300182,捷成股份
2025-07-03,5.4,5.47,5.39,5.43,50959869,300182,捷成股份
2025-07-04,5.42,5.45,5.35,5.39,59597316,300182,捷成股份
2025-07-07,5.37,5.43,5.36,5.38,41603900,300182,捷成股份
2025-07-08,5.37,5.47,5.35,5.47,70024050,300182,捷成股份
2025-07-09,5.47,5.67,5.46,5.56,138110546,300182,捷成股份
2025-07-10,5.57,5.65,5.54,5.59,85705450,300182,捷成股份
2025-07-11,5.61,5.64,5.53,5.61,80217747,300182,捷成股份
2025-07-14,5.59,5.61,5.49,5.5,74234047,300182,捷成股份
2025-07-15,5.5,5.55,5.42,5.53,73223599,300182,捷成股份
2025-07-16,5.51,5.69,5.5,5.59,102153357,300182,捷成股份
2025-07-17,5.56,5.62,5.52,5.62,70145900,300182,捷成股份
2025-07-18,5.7,5.85,5.63,5.64,132272232,300182,捷成股份
2025-07-21,5.62,5.67,5.59,5.63,71279257,300182,捷成股份
2025-07-22,5.64,5.65,5.53,5.58,71924246,300182,捷成股份
2025-07-23,5.56,5.61,5.52,5.52,67506000,300182,捷成股份
2025-07-24,5.53,5.65,5.52,5.65,78359887,300182,捷成股份
2025-07-25,5.65,5.74,5.61,5.71,99397206,300182,捷成股份
2025-07-28,5.74,5.77,5.69,5.72,77250387,300182,捷成股份
2025-07-29,5.69,5.71,5.59,5.67,69750590,300182,捷成股份
2025-07-30,5.65,5.78,5.63,5.7,115298883,300182,捷成股份
2025-07-31,5.67,5.82,5.61,5.74,148065560,300182,捷成股份
2025-08-01,5.87,6.2,5.68,6.11,343239858,300182,捷成股份
2025-08-04,6.36,6.47,6.11,6.15,353293276,300182,捷成股份
2025-08-05,6.11,6.15,5.95,6.03,216869986,300182,捷成股份
2025-08-06,5.98,6.37,5.92,6.35,299389316,300182,捷成股份
2025-08-07,6.26,6.29,6.15,6.17,181563214,300182,捷成股份
2025-08-08,6.18,6.22,6.03,6.04,127275176,300182,捷成股份
2025-08-11,6.08,6.15,6.03,6.09,111078757,300182,捷成股份
2025-08-12,6.08,6.25,6.05,6.13,136450318,300182,捷成股份
2025-08-13,6.12,6.14,6.02,6.05,142839922,300182,捷成股份
2025-08-14,6.05,6.07,5.85,5.87,132628577,300182,捷成股份
2025-08-15,5.86,5.98,5.85,5.98,91200836,300182,捷成股份
2025-08-18,5.97,6.36,5.97,6.24,277598425,300182,捷成股份
2025-08-19,6.23,6.34,6.16,6.21,162311297,300182,捷成股份
2025-08-20,6.17,6.2,6.08,6.2,120535573,300182,捷成股份
2025-08-21,6.14,6.19,6.05,6.1,120081525,300182,捷成股份
2025-08-22,6.09,6.17,6.08,6.17,109962514,300182,捷成股份
2025-08-25,6.22,6.4,6.19,6.4,231228468,300182,捷成股份
2025-08-26,6.34,6.54,6.3,6.48,214721752,300182,捷成股份
2025-08-27,6.51,6.68,6.42,6.45,261012897,300182,捷成股份
2025-08-28,6.37,6.4,6.17,6.37,200214263,300182,捷成股份
2025-08-29,6.33,6.38,6.09,6.1,152650200,300182,捷成股份
2025-09-01,6.12,6.21,6.02,6.09,109903061,300182,捷成股份
2025-09-02,6.07,6.07,5.77,5.83,130870400,300182,捷成股份
2025-09-03,5.83,5.87,5.65,5.67,81353153,300182,捷成股份
2025-09-04,5.7,5.76,5.51,5.6,82006741,300182,捷成股份
2025-09-05,5.61,5.72,5.55,5.72,65785179,300182,捷成股份
2025-09-08,5.72,5.75,5.63,5.73,70900681,300182,捷成股份
2025-09-09,5.69,5.71,5.56,5.61,63530725,300182,捷成股份
2025-09-10,5.58,5.73,5.58,5.68,64431554,300182,捷成股份
2025-09-11,5.65,5.74,5.54,5.74,79316055,300182,捷成股份
2025-09-12,5.72,5.79,5.69,5.71,65968225,300182,捷成股份
2025-09-15,5.71,6.25,5.69,6.05,220875958,300182,捷成股份
2025-09-16,6.05,6.08,5.97,6.04,101475899,300182,捷成股份
2025-09-17,6.02,6.14,5.96,6.1,93923751,300182,捷成股份
2025-09-18,6.08,6.11,5.82,5.88,107480963,300182,捷成股份
2025-09-19,5.9,5.96,5.82,5.89,70924130,300182,捷成股份
2025-09-22,5.85,5.88,5.77,5.87,65739337,300182,捷成股份
2025-09-23,5.84,5.84,5.53,5.66,91197266,300182,捷成股份
2025-09-24,5.62,5.73,5.61,5.71,61691160,300182,捷成股份
2025-09-25,5.72,5.87,5.69,5.79,84699100,300182,捷成股份
2025-09-26,5.76,5.84,5.66,5.77,67946223,300182,捷成股份
2025-09-29,5.8,6.03,5.68,6.01,117070276,300182,捷成股份
2025-09-30,6.15,6.17,6.02,6.05,82354100,300182,捷成股份
2025-10-09,6.37,6.5,6.16,6.32,229337482,300182,捷成股份
2025-10-10,6.2,6.28,6.12,6.17,104025377,300182,捷成股份
2025-10-13,5.95,6.14,5.88,6.08,75990073,300182,捷成股份
2025-10-14,6.15,6.19,5.94,6.02,107457844,300182,捷成股份
2025-10-15,6.07,6.22,6.05,6.18,98021942,300182,捷成股份
2025-10-16,6.15,6.18,6.01,6.04,59494806,300182,捷成股份
2025-10-17,6.04,6.05,5.79,5.8,68582592,300182,捷成股份
2025-10-20,5.88,6.01,5.86,5.93,48528193,300182,捷成股份
2025-10-21,5.93,6.05,5.88,5.94,79816379,300182,捷成股份
2025-10-22,5.91,6.27,5.91,6.16,143818166,300182,捷成股份
2025-10-23,6.27,6.4,6.17,6.36,199346106,300182,捷成股份
2025-10-24,6.32,6.4,6.27,6.33,139949471,300182,捷成股份
2025-10-27,6.46,6.6,6.17,6.24,153180185,300182,捷成股份
2025-10-28,6.24,6.42,6.2,6.23,107579217,300182,捷成股份
2025-10-29,6.21,6.44,6.15,6.33,112500814,300182,捷成股份
2025-10-30,6.3,6.39,6.21,6.24,81905031,300182,捷成股份
2025-10-31,6.3,6.76,6.25,6.65,306954432,300182,捷成股份
2025-11-03,6.64,6.91,6.49,6.85,267666320,300182,捷成股份
2025-11-04,6.72,6.75,6.55,6.63,160256817,300182,捷成股份
2025-11-05,6.5,6.71,6.44,6.59,153758085,300182,捷成股份
2025-11-06,6.53,6.61,6.36,6.49,124529070,300182,捷成股份
2025-11-07,6.47,6.47,6.26,6.29,133910785,300182,捷成股份
2025-11-10,6.31,6.39,6.26,6.3,104268860,300182,捷成股份
2025-11-11,6.28,6.3,6.16,6.19,87323015,300182,捷成股份
2025-11-12,6.2,6.22,6.03,6.09,79458548,300182,捷成股份
2025-11-13,6.1,6.14,6.04,6.12,63446099,300182,捷成股份
2025-11-14,6.06,6.12,6.01,6.01,68606396,300182,捷成股份
2025-11-17,6.01,6.14,5.99,6.09,67852116,300182,捷成股份
2025-11-18,6.07,6.27,6.04,6.23,137845730,300182,捷成股份
2025-11-19,6.19,6.19,5.92,5.97,116086191,300182,捷成股份
2025-11-20,5.99,6.05,5.9,5.91,49935192,300182,捷成股份
