date,open,high,low,close,volume,stock_code,stock_name
2025-04-28,7.51,7.55,7.42,7.45,60149563,600733,北汽蓝谷
2025-04-29,7.38,7.4,7.16,7.2,131033700,600733,北汽蓝谷
2025-04-30,7.17,7.4,7.17,7.39,98447128,600733,北汽蓝谷
2025-05-06,7.45,7.58,7.44,7.55,91731121,600733,北汽蓝谷
2025-05-07,7.62,7.8,7.53,7.57,117024241,600733,北汽蓝谷
2025-05-08,7.55,7.59,7.51,7.58,67716533,600733,北汽蓝谷
2025-05-09,7.55,7.63,7.46,7.46,70324637,600733,北汽蓝谷
2025-05-12,7.55,7.8,7.51,7.66,128675555,600733,北汽蓝谷
2025-05-13,7.74,7.78,7.53,7.56,85662452,600733,北汽蓝谷
2025-05-14,7.58,7.58,7.46,7.55,66223379,600733,北汽蓝谷
2025-05-15,7.54,7.54,7.34,7.36,77751672,600733,北汽蓝谷
2025-05-16,7.33,7.49,7.33,7.43,54867885,600733,北汽蓝谷
2025-05-19,7.53,7.56,7.36,7.42,53156850,600733,北汽蓝谷
2025-05-20,7.41,7.47,7.38,7.46,60726329,600733,北汽蓝谷
2025-05-21,7.45,7.64,7.4,7.58,118420150,600733,北汽蓝谷
2025-05-22,7.53,7.62,7.41,7.45,86278300,600733,北汽蓝谷
2025-05-23,7.42,7.74,7.41,7.58,189086474,600733,北汽蓝谷
2025-05-26,7.5,7.54,7.31,7.39,122722927,600733,北汽蓝谷
2025-05-27,7.37,7.42,7.22,7.27,77326126,600733,北汽蓝谷
2025-05-28,7.25,7.33,7.17,7.2,54298009,600733,北汽蓝谷
2025-05-29,7.21,7.32,7.2,7.29,62477575,600733,北汽蓝谷
2025-05-30,7.25,7.28,7.18,7.23,53984026,600733,北汽蓝谷
2025-06-03,7.2,7.22,7.12,7.15,59257125,600733,北汽蓝谷
2025-06-04,7.18,7.2,7.15,7.19,37912667,600733,北汽蓝谷
2025-06-05,7.25,7.27,7.19,7.23,45387193,600733,北汽蓝谷
2025-06-06,7.23,7.25,7.15,7.18,38489254,600733,北汽蓝谷
2025-06-09,7.2,7.38,7.16,7.33,98652058,600733,北汽蓝谷
2025-06-10,7.33,7.35,7.17,7.24,72752948,600733,北汽蓝谷
2025-06-11,7.21,7.53,7.21,7.4,121477195,600733,北汽蓝谷
2025-06-12,7.39,7.65,7.32,7.46,133278704,600733,北汽蓝谷
2025-06-13,7.4,7.42,7.23,7.25,78327527,600733,北汽蓝谷
2025-06-16,7.25,7.32,7.21,7.29,44605156,600733,北汽蓝谷
2025-06-17,7.3,7.35,7.23,7.26,39083853,600733,北汽蓝谷
2025-06-18,7.28,7.29,7.2,7.22,38918520,600733,北汽蓝谷
2025-06-19,7.22,7.25,7.12,7.12,51581400,600733,北汽蓝谷
2025-06-20,7.1,7.16,7.05,7.07,48099035,600733,北汽蓝谷
2025-06-23,7.0,7.11,6.95,7.11,42240989,600733,北汽蓝谷
2025-06-24,7.16,7.28,7.16,7.25,64356717,600733,北汽蓝谷
2025-06-25,7.3,7.36,7.22,7.3,73831554,600733,北汽蓝谷
2025-06-26,7.28,7.31,7.23,7.24,54792979,600733,北汽蓝谷
2025-06-27,7.3,7.34,7.23,7.26,53453736,600733,北汽蓝谷
2025-06-30,7.28,7.39,7.25,7.37,75670170,600733,北汽蓝谷
2025-07-01,7.33,7.41,7.3,7.35,55005289,600733,北汽蓝谷
2025-07-02,7.37,7.54,7.32,7.33,86471300,600733,北汽蓝谷
2025-07-03,7.35,7.38,7.27,7.33,52086026,600733,北汽蓝谷
2025-07-04,7.36,7.55,7.3,7.38,105295548,600733,北汽蓝谷
2025-07-07,7.38,7.43,7.32,7.43,78055267,600733,北汽蓝谷
2025-07-08,7.42,7.54,7.37,7.49,118198163,600733,北汽蓝谷
2025-07-09,7.52,7.53,7.37,7.44,102598583,600733,北汽蓝谷
2025-07-10,7.4,7.42,7.32,7.36,64962207,600733,北汽蓝谷
2025-07-11,7.35,7.35,7.28,7.31,69512876,600733,北汽蓝谷
2025-07-14,7.32,7.39,7.26,7.33,70192295,600733,北汽蓝谷
2025-07-15,7.3,7.76,7.28,7.62,276231963,600733,北汽蓝谷
2025-07-16,7.61,7.84,7.55,7.76,187497372,600733,北汽蓝谷
2025-07-17,7.8,7.88,7.71,7.85,159324932,600733,北汽蓝谷
2025-07-18,7.91,8.02,7.82,8.0,165374179,600733,北汽蓝谷
2025-07-21,8.05,8.06,7.86,7.87,121100164,600733,北汽蓝谷
2025-07-22,7.85,7.9,7.7,7.85,130180634,600733,北汽蓝谷
2025-07-23,7.8,8.19,7.74,7.91,171378622,600733,北汽蓝谷
2025-07-24,7.88,8.0,7.85,7.98,99585507,600733,北汽蓝谷
2025-07-25,7.99,8.17,7.94,7.97,114574351,600733,北汽蓝谷
2025-07-28,7.97,8.12,7.94,8.04,104344977,600733,北汽蓝谷
2025-07-29,8.08,8.23,8.04,8.22,135644873,600733,北汽蓝谷
2025-07-30,8.19,8.31,8.08,8.14,136611624,600733,北汽蓝谷
2025-07-31,8.1,8.52,8.08,8.12,192734750,600733,北汽蓝谷
2025-08-01,8.2,8.93,8.19,8.8,406301381,600733,北汽蓝谷
2025-08-04,8.65,8.72,8.48,8.54,216010840,600733,北汽蓝谷
2025-08-05,8.55,8.82,8.54,8.75,178636160,600733,北汽蓝谷
2025-08-06,8.85,9.23,8.78,9.08,263241167,600733,北汽蓝谷
2025-08-07,9.0,9.08,8.88,8.99,163613252,600733,北汽蓝谷
2025-08-08,9.02,9.12,8.78,9.01,162346986,600733,北汽蓝谷
2025-08-11,9.03,9.12,8.92,8.98,152822543,600733,北汽蓝谷
2025-08-12,8.93,9.0,8.78,8.85,143315509,600733,北汽蓝谷
2025-08-13,8.87,8.98,8.75,8.85,135212992,600733,北汽蓝谷
2025-08-14,8.85,8.98,8.62,8.62,168383623,600733,北汽蓝谷
2025-08-15,8.59,8.96,8.57,8.92,144626816,600733,北汽蓝谷
2025-08-18,8.96,9.68,8.9,9.43,348971197,600733,北汽蓝谷
2025-08-19,9.36,9.46,9.15,9.2,215766441,600733,北汽蓝谷
2025-08-20,9.16,9.38,8.97,9.35,204185479,600733,北汽蓝谷
2025-08-21,9.3,9.45,9.16,9.2,132159640,600733,北汽蓝谷
2025-08-22,9.24,9.43,9.08,9.38,208732852,600733,北汽蓝谷
2025-08-25,9.37,9.37,9.03,9.14,266549628,600733,北汽蓝谷
2025-08-26,9.06,9.08,8.87,8.99,190179263,600733,北汽蓝谷
2025-08-27,8.98,9.15,8.65,8.67,184426303,600733,北汽蓝谷
2025-08-28,8.68,8.78,8.41,8.72,150397400,600733,北汽蓝谷
2025-08-29,8.73,8.99,8.61,8.84,160787945,600733,北汽蓝谷
2025-09-01,8.87,8.89,8.68,8.84,135665424,600733,北汽蓝谷
2025-09-02,8.85,8.89,8.53,8.59,138271817,600733,北汽蓝谷
2025-09-03,8.59,8.73,8.36,8.4,121166173,600733,北汽蓝谷
2025-09-04,8.4,8.55,8.2,8.3,126630010,600733,北汽蓝谷
2025-09-05,8.33,8.45,8.29,8.43,107310783,600733,北汽蓝谷
2025-09-08,8.43,8.54,8.25,8.46,128267636,600733,北汽蓝谷
2025-09-09,8.42,8.71,8.41,8.49,177613329,600733,北汽蓝谷
2025-09-10,8.48,8.68,8.41,8.45,116760325,600733,北汽蓝谷
