date,Open,High,Low,Close,Volume,stock_code,stock_name,日收益率,MA5_SMA,MA10_SMA,MA5_EMA,MA10_EMA,Volume_MA5,Volume_MA10
2025/4/28,30.15,30.15,29.7,29.84,12460428,2460,赣锋锂业,,29.84,29.84,29.84,29.84,12460428,12460428
2025/4/29,29.77,30.15,29.68,30.05,9507730,2460,赣锋锂业,0.703753,29.945,29.945,29.91,29.8782,10984079,10984079
2025/4/30,29.73,30.09,29.6,29.82,15030007,2460,赣锋锂业,-0.765391,29.9033,29.9033,29.88,29.8676,12332722,12332722
2025/5/6,29.83,30.58,29.83,30.58,17163545,2460,赣锋锂业,2.548625,30.0725,30.0725,30.1133,29.9971,13540428,13540428
2025/5/7,30.88,31.1,30.27,30.48,14740871,2460,赣锋锂业,-0.327011,30.154,30.154,30.2356,30.0849,13780516,13780516
2025/5/8,30.36,31.16,30.25,30.84,15905293,2460,赣锋锂业,1.181102,30.354,30.2683,30.437,30.2222,14469489,14134646
2025/5/9,30.86,30.92,30.4,30.53,10102239,2460,赣锋锂业,-1.005188,30.45,30.3057,30.468,30.2782,14588391,13558588
2025/5/12,31.01,31.44,30.76,31.44,23118616,2460,赣锋锂业,2.980675,30.774,30.4475,30.792,30.4894,16206113,14753591
2025/5/13,31.47,32.06,31.31,31.59,21440179,2460,赣锋锂业,0.477099,30.976,30.5744,31.058,30.6895,17061440,15496545
2025/5/14,31.56,32.15,31.43,32.01,21068542,2460,赣锋锂业,1.329535,31.282,30.718,31.3753,30.9296,18326974,16053745
2025/5/15,31.86,31.86,31.04,31.05,16364183,2460,赣锋锂业,-2.999063,31.324,30.839,31.2669,30.9515,18418752,16444120
2025/5/16,30.86,31.17,30.78,30.84,10992226,2460,赣锋锂业,-0.676329,31.386,30.918,31.1246,30.9312,18596749,16592570
2025/5/19,30.64,30.75,30.34,30.75,9945365,2460,赣锋锂业,-0.291829,31.248,31.011,30.9997,30.8983,15962099,16084106
2025/5/20,30.79,31.01,30.54,30.91,9758179,2460,赣锋锂业,0.520325,31.112,31.044,30.9698,30.9004,13625699,15343569
2025/5/21,30.91,31.77,30.77,31.39,24648554,2460,赣锋锂业,1.552896,30.988,31.135,31.1099,30.9894,14341701,16334338
2025/5/22,31.17,32.01,31.09,31.26,16539817,2460,赣锋锂业,-0.414145,31.03,31.177,31.1599,31.0386,14376828,16397790
2025/5/23,31.13,32.26,31.07,31.29,27678790,2460,赣锋锂业,0.095969,31.12,31.253,31.2033,31.0843,17714141,18155445
2025/5/26,30.86,31.26,30.38,30.45,17050076,2460,赣锋锂业,-2.684564,31.06,31.154,30.9522,30.969,19135083,17548591
2025/5/27,30.43,31.36,30.38,30.73,14722132,2460,赣锋锂业,0.91954,31.024,31.068,30.8781,30.9255,20127874,16876786
2025/5/28,30.56,30.66,29.97,30.03,13632769,2460,赣锋锂业,-2.277904,30.752,30.87,30.5954,30.7627,17924717,16133209
2025/5/29,29.89,30.51,29.86,30.46,12422256,2460,赣锋锂业,1.431901,30.592,30.811,30.5503,30.7077,17101205,15739016
2025/5/30,30.42,30.42,30,30.05,9509433,2460,赣锋锂业,-1.346028,30.344,30.732,30.3835,30.5881,13467333,15590737
2025/6/3,29.83,30.34,29.78,30,10783776,2460,赣锋锂业,-0.166389,30.254,30.657,30.2557,30.4812,12214073,15674578
2025/6/4,30.15,31.08,30.06,31.08,26156734,2460,赣锋锂业,3.6,30.324,30.674,30.5305,30.59,14500994,17314434
2025/6/5,30.96,31.26,30.78,31.1,12111359,2460,赣锋锂业,0.06435,30.538,30.645,30.7203,30.6828,14196712,16060714
2025/6/6,31.13,31.36,30.97,31.05,10232914,2460,赣锋锂业,-0.160772,30.656,30.624,30.8302,30.7495,13758843,15430024
2025/6/9,31.16,31.52,30.96,31.28,13288116,2460,赣锋锂业,0.740741,30.902,30.623,30.9801,30.846,14514580,13990956
2025/6/10,31.29,31.62,30.76,31.01,14855884,2460,赣锋锂业,-0.863171,31.104,30.679,30.9901,30.8758,15329001,13771537
2025/6/11,31.01,32.16,30.93,31.74,28837665,2460,赣锋锂业,2.354079,31.236,30.78,31.2401,31.0329,15865188,15183091
2025/6/12,31.59,31.86,31.39,31.76,15736668,2460,赣锋锂业,0.063012,31.368,30.953,31.4134,31.1651,16590249,15393480
2025/6/13,31.53,31.94,31.17,31.28,16844010,2460,赣锋锂业,-1.511335,31.414,31.035,31.3689,31.186,17912469,15835656
2025/6/16,31.06,31.16,30.79,31.01,12040875,2460,赣锋锂业,-0.863171,31.36,31.131,31.2493,31.154,17663020,16088800
2025/6/17,31.06,31.6,30.9,31.13,14637694,2460,赣锋锂业,0.386972,31.384,31.244,31.2095,31.1496,17619382,16474192
2025/6/18,31.19,31.36,30.64,31,12126118,2460,赣锋锂业,-0.417604,31.236,31.236,31.1397,31.1224,14277073,15071130
2025/6/19,30.91,31.96,30.78,30.98,23077675,2460,赣锋锂业,-0.064516,31.08,31.224,31.0865,31.0965,15745274,16167762
2025/6/20,30.86,31.49,30.46,30.46,18696280,2460,赣锋锂业,-1.678502,30.916,31.165,30.8776,30.9808,16115728,17014098
2025/6/23,30.27,31.39,30.15,31.38,24555222,2460,赣锋锂业,3.020355,30.99,31.175,31.0451,31.0534,18618598,18140809
2025/6/24,31.46,32.82,31.38,32.56,41298019,2460,赣锋锂业,3.760357,31.276,31.33,31.5501,31.3273,23950663,20785023
2025/6/25,32.66,33,32.42,32.82,33884378,2460,赣锋锂业,0.798526,31.64,31.438,31.9734,31.5987,28302315,21289694
2025/6/26,32.82,34.81,32.71,33.35,56403001,2460,赣锋锂业,1.614869,32.114,31.597,32.4322,31.9171,34967380,25356327
2025/6/27,33.84,34.78,33.76,34,44529478,2460,赣锋锂业,1.949025,32.822,31.869,32.9548,32.2958,40134020,28124874
2025/6/30,34,34.14,33.36,33.62,27445665,2460,赣锋锂业,-1.117647,33.27,32.13,33.1766,32.5366,40712108,29665353
2025/7/1,33.41,33.49,32.76,33.41,24553355,2460,赣锋锂业,-0.624628,33.44,32.358,33.2544,32.6954,37363175,30656919
2025/7/2,33.4,34.7,33.08,34.38,47883054,2460,赣锋锂业,2.903322,33.752,32.696,33.6296,33.0017,40162911,34232613
2025/7/3,34.54,35.47,34.14,34.96,48024963,2460,赣锋锂业,1.687027,34.074,33.094,34.0731,33.3577,38487303,36727342
